NAICS_Code,Year,Month,Total_Sales
453,2017,Feb,8993
4532,2017,Feb,2011
45321,2017,Feb,986
45322,2017,Feb,1025
45330,2017,Feb,1374
454,2017,Feb,44468
4541,2017,Feb,37904
45431,2017,Feb,2839
722,2017,Feb,52747
7224,2017,Feb,2088
7225,2017,Feb,45778
722511,2017,Feb,22933
441,2016,Feb,89395
"4411,4412",2016,Feb,82237
4411,2016,Feb,77573
44111,2016,Feb,67293
44112,2016,Feb,10280
4413,2016,Feb,7158
"442,443",2016,Feb,16224
442,2016,Feb,8384
4421,2016,Feb,4728
4422,2016,Feb,3656
44221,2016,Feb,1444
442299,2016,Feb,2079
443,2016,Feb,7840
443141,2016,Feb,1331
443142,2016,Feb,6509
444,2016,Feb,23177
4441,2016,Feb,20587
44412,2016,Feb,779
44413,2016,Feb,1700
445,2016,Feb,54016
4451,2016,Feb,48568
44511,2016,Feb,46623
4453,2016,Feb,3765
446,2016,Feb,26742
44611,2016,Feb,22383
447,2016,Feb,27991
448,2016,Feb,18939
4481,2016,Feb,13177
44811,2016,Feb,622
44812,2016,Feb,2965
44814,2016,Feb,6871
44819,2016,Feb,1350
4482,2016,Feb,2883
44831,2016,Feb,2649
451,2016,Feb,5871
45111,2016,Feb,3184
45112,2016,Feb,1216
451211,2016,Feb,691
452,2016,Feb,51119
4521,2016,Feb,10971
452111,2016,Feb,3848
452112,2016,Feb,7123
4529,2016,Feb,40148
45291,2016,Feb,34610
45299,2016,Feb,5538
453,2016,Feb,8758
4532,2016,Feb,2206
45321,2016,Feb,1126
45322,2016,Feb,1080
45330,2016,Feb,1287
454,2016,Feb,41455
4541,2016,Feb,34783
45431,2016,Feb,2982
722,2016,Feb,51502
7224,2016,Feb,1912
7225,2016,Feb,45154
722511,2016,Feb,23140
441,2015,Feb,79512
"4411,4412",2015,Feb,72863
4411,2015,Feb,68917
44111,2015,Feb,59825
44112,2015,Feb,9092
4413,2015,Feb,6649
"442,443",2015,Feb,15447
442,2015,Feb,7514
4421,2015,Feb,4265
4422,2015,Feb,3249
44221,2015,Feb,1291
442299,2015,Feb,1831
443,2015,Feb,7933
443141,2015,Feb,1238
443142,2015,Feb,6695
444,2015,Feb,19882
4441,2015,Feb,17657
44412,2015,Feb,674
44413,2015,Feb,1631
445,2015,Feb,51943
4451,2015,Feb,46905
44511,2015,Feb,45094
4453,2015,Feb,3482
446,2015,Feb,24106
44611,2015,Feb,20085
447,2015,Feb,31583
448,2015,Feb,17980
4481,2015,Feb,12590
44811,2015,Feb,633
44812,2015,Feb,2762
44814,2015,Feb,6523
44819,2015,Feb,1273
4482,2015,Feb,2591
44831,2015,Feb,2618
451,2015,Feb,5413
45111,2015,Feb,2831
45112,2015,Feb,1155
451211,2015,Feb,687
452,2015,Feb,49136
4521,2015,Feb,11204
452111,2015,Feb,3945
452112,2015,Feb,7259
4529,2015,Feb,37932
45291,2015,Feb,32882
45299,2015,Feb,5050
453,2015,Feb,8503
4532,2015,Feb,2288
45321,2015,Feb,1221
45322,2015,Feb,1067
45330,2015,Feb,1182
454,2015,Feb,37954
4541,2015,Feb,29988
45431,2015,Feb,4698
722,2015,Feb,46604
7224,2015,Feb,1707
7225,2015,Feb,40635
722511,2015,Feb,21053
441,2014,Feb,74954
"4411,4412",2014,Feb,68319
4411,2014,Feb,64321
44111,2014,Feb,56299
44112,2014,Feb,8022
4413,2014,Feb,6635
"442,443",2014,Feb,15236
442,2014,Feb,7227
4421,2014,Feb,4069
4422,2014,Feb,3158
44221,2014,Feb,1226
442299,2014,Feb,1824
443,2014,Feb,8009
443141,2014,Feb,1267
443142,2014,Feb,6742
444,2014,Feb,19028
4441,2014,Feb,16875
44412,2014,Feb,623
44413,2014,Feb,1544
445,2014,Feb,49913
4451,2014,Feb,45122
44511,2014,Feb,43267
4453,2014,Feb,3310
446,2014,Feb,22781
44611,2014,Feb,19140
447,2014,Feb,40169
448,2014,Feb,17507
4481,2014,Feb,12100
44811,2014,Feb,636
44812,2014,Feb,2823
44814,2014,Feb,6257
44819,2014,Feb,1123
4482,2014,Feb,2583
44831,2014,Feb,2615
451,2014,Feb,5355
45111,2014,Feb,2779
45112,2014,Feb,1090
451211,2014,Feb,729
452,2014,Feb,48873
4521,2014,Feb,11587
452111,2014,Feb,4079
452112,2014,Feb,7508
4529,2014,Feb,37286
45291,2014,Feb,32406
45299,2014,Feb,4880
453,2014,Feb,8221
4532,2014,Feb,2391
45321,2014,Feb,1292
45322,2014,Feb,1099
45330,2014,Feb,1169
454,2014,Feb,35092
4541,2014,Feb,26138
45431,2014,Feb,5644
722,2014,Feb,42890
7224,2014,Feb,1649
7225,2014,Feb,37313
722511,2014,Feb,19526
441,2018,Mar,109339
"4411,4412",2018,Mar,101287
4411,2018,Mar,94567
44111,2018,Mar,83435
44112,2018,Mar,11132
4413,2018,Mar,8052
"442,443",2018,Mar,18170
442,2018,Mar,10013
4421,2018,Mar,5675
4422,2018,Mar,4338
442299,2018,Mar,2401
443,2018,Mar,8157
443141,2018,Mar,1418
443142,2018,Mar,6739
444,2018,Mar,30843
4441,2018,Mar,26826
44412,2018,Mar,1014
44413,2018,Mar,2280
445,2018,Mar,64077
4451,2018,Mar,57499
44511,2018,Mar,55097
4453,2018,Mar,4673
446,2018,Mar,28975
44611,2018,Mar,23909
447,2018,Mar,40958
448,2018,Mar,22404
4481,2018,Mar,16590
44811,2018,Mar,754
44812,2018,Mar,3519
44814,2018,Mar,9017
44819,2018,Mar,1513
4482,2018,Mar,3186
44831,2018,Mar,2382
451,2018,Mar,6904
45111,2018,Mar,3693
45112,2018,Mar,1569
451211,2018,Mar,715
452,2018,Mar,58712
4521,2018,Mar,11462
452111,2018,Mar,3831
452112,2018,Mar,7631
4529,2018,Mar,47250
45291,2018,Mar,40418
45299,2018,Mar,6832
453,2018,Mar,10519
4532,2018,Mar,2265
45321,2018,Mar,996
45322,2018,Mar,1269
45330,2018,Mar,1668
454,2018,Mar,55611
4541,2018,Mar,47943
45431,2018,Mar,3211
722,2018,Mar,63868
7225,2018,Mar,55388
722511,2018,Mar,27846
441,2017,Mar,105194
"4411,4412",2017,Mar,97049
4411,2017,Mar,89892
44111,2017,Mar,79068
44112,2017,Mar,10824
4413,2017,Mar,8145
"442,443",2017,Mar,17722
442,2017,Mar,9698
4421,2017,Mar,5320
4422,2017,Mar,4378
442299,2017,Mar,2343
443,2017,Mar,8024
443141,2017,Mar,1459
443142,2017,Mar,6565
444,2017,Mar,30610
4441,2017,Mar,26315
44412,2017,Mar,1013
44413,2017,Mar,2049
445,2017,Mar,59855
4451,2017,Mar,53851
44511,2017,Mar,51515
4453,2017,Mar,4260
446,2017,Mar,28352
44611,2017,Mar,23398
447,2017,Mar,37070
448,2017,Mar,21028
4481,2017,Mar,15564
44811,2017,Mar,708
44812,2017,Mar,3405
44814,2017,Mar,8348
44819,2017,Mar,1538
4482,2017,Mar,3162
44831,2017,Mar,2102
451,2017,Mar,6668
45111,2017,Mar,3732
45112,2017,Mar,1356
451211,2017,Mar,684
452,2017,Mar,55043
4521,2017,Mar,11439
452111,2017,Mar,3895
452112,2017,Mar,7544
4529,2017,Mar,43604
45291,2017,Mar,37298
45299,2017,Mar,6306
453,2017,Mar,10115
4532,2017,Mar,2238
45321,2017,Mar,1076
45322,2017,Mar,1162
45330,2017,Mar,1571
454,2017,Mar,51259
4541,2017,Mar,44105
45431,2017,Mar,2831
722,2017,Mar,60143
7224,2017,Mar,2437
7225,2017,Mar,52347
722511,2017,Mar,25901
441,2016,Mar,100382
"4411,4412",2016,Mar,92369
4411,2016,Mar,85595
44111,2016,Mar,75634
44112,2016,Mar,9961
4413,2016,Mar,8013
"442,443",2016,Mar,17205
442,2016,Mar,9264
4421,2016,Mar,5096
4422,2016,Mar,4168
44221,2016,Mar,1710
442299,2016,Mar,2288
443,2016,Mar,7941
443141,2016,Mar,1391
443142,2016,Mar,6550
444,2016,Mar,29942
4441,2016,Mar,25490
44412,2016,Mar,964
44413,2016,Mar,2057
445,2016,Mar,57929
4451,2016,Mar,52038
44511,2016,Mar,49865
4453,2016,Mar,4041
446,2016,Mar,28299
44611,2016,Mar,23541
447,2016,Mar,32406
448,2016,Mar,21492
4481,2016,Mar,15950
44811,2016,Mar,709
44812,2016,Mar,3691
44814,2016,Mar,8482
44819,2016,Mar,1465
4482,2016,Mar,3171
44831,2016,Mar,2139
451,2016,Mar,6941
45111,2016,Mar,4009
45112,2016,Mar,1368
451211,2016,Mar,684
452,2016,Mar,55822
4521,2016,Mar,12451
452111,2016,Mar,4430
452112,2016,Mar,8021
4529,2016,Mar,43371
45291,2016,Mar,37262
45299,2016,Mar,6109
453,2016,Mar,9794
4532,2016,Mar,2335
45321,2016,Mar,1156
45322,2016,Mar,1179
45330,2016,Mar,1396
454,2016,Mar,45098
4541,2016,Mar,38627
45431,2016,Mar,2275
722,2016,Mar,55888
7224,2016,Mar,2090
7225,2016,Mar,49121
722511,2016,Mar,24587
441,2015,Mar,96419
"4411,4412",2015,Mar,88803
4411,2015,Mar,82636
44111,2015,Mar,73305
44112,2015,Mar,9331
4413,2015,Mar,7616
"442,443",2015,Mar,16723
442,2015,Mar,8616
4421,2015,Mar,4769
4422,2015,Mar,3847
44221,2015,Mar,1513
442299,2015,Mar,2180
443,2015,Mar,8107
443141,2015,Mar,1401
443142,2015,Mar,6706
444,2015,Mar,26479
4441,2015,Mar,23008
44412,2015,Mar,865
44413,2015,Mar,1928
445,2015,Mar,56508
4451,2015,Mar,50933
44511,2015,Mar,48876
4453,2015,Mar,3857
446,2015,Mar,26845
44611,2015,Mar,22366
447,2015,Mar,36772
448,2015,Mar,20752
4481,2015,Mar,15502
44811,2015,Mar,699
44812,2015,Mar,3545
44814,2015,Mar,8149
44819,2015,Mar,1439
4482,2015,Mar,2933
44831,2015,Mar,2133
451,2015,Mar,6519
45111,2015,Mar,3690
45112,2015,Mar,1318
451211,2015,Mar,657
452,2015,Mar,54736
4521,2015,Mar,13144
452111,2015,Mar,4545
452112,2015,Mar,8599
4529,2015,Mar,41592
45291,2015,Mar,35953
45299,2015,Mar,5639
453,2015,Mar,9349
4532,2015,Mar,2354
45321,2015,Mar,1194
45322,2015,Mar,1160
45330,2015,Mar,1413
454,2015,Mar,41746
4541,2015,Mar,34159
45431,2015,Mar,3776
722,2015,Mar,53122
7224,2015,Mar,1975
7225,2015,Mar,46657
722511,2015,Mar,23829
441,2014,Mar,90488
"4411,4412",2014,Mar,83086
4411,2014,Mar,77611
44111,2014,Mar,69047
44112,2014,Mar,8564
4413,2014,Mar,7402
"442,443",2014,Mar,16428
442,2014,Mar,8104
4421,2014,Mar,4586
4422,2014,Mar,3518
44221,2014,Mar,1386
442299,2014,Mar,2007
443,2014,Mar,8324
443141,2014,Mar,1396
443142,2014,Mar,6928
444,2014,Mar,24404
4441,2014,Mar,20788
44412,2014,Mar,801
44413,2014,Mar,1832
445,2014,Mar,54313
4451,2014,Mar,49033
44511,2014,Mar,46954
4453,2014,Mar,3652
446,2014,Mar,24633
44611,2014,Mar,20488
447,2014,Mar,45803
448,2014,Mar,20070
4481,2014,Mar,14863
44811,2014,Mar,702
44812,2014,Mar,3548
44814,2014,Mar,7793
44819,2014,Mar,1293
4482,2014,Mar,2849
44831,2014,Mar,2162
451,2014,Mar,6259
45111,2014,Mar,3522
45112,2014,Mar,1220
451211,2014,Mar,683
452,2014,Mar,53962
4521,2014,Mar,13228
452111,2014,Mar,4660
452112,2014,Mar,8568
4529,2014,Mar,40734
45291,2014,Mar,35552
45299,2014,Mar,5182
453,2014,Mar,8976
4532,2014,Mar,2440
45321,2014,Mar,1351
45322,2014,Mar,1089
45330,2014,Mar,1352
454,2014,Mar,37905
4541,2014,Mar,29580
45431,2014,Mar,4701
722,2014,Mar,49410
7224,2014,Mar,1922
7225,2014,Mar,43184
722511,2014,Mar,22320
441,2018,Apr,99132
"4411,4412",2018,Apr,91594
4411,2018,Apr,84471
44111,2018,Apr,75062
44112,2018,Apr,9409
4413,2018,Apr,7538
"442,443",2018,Apr,16518
442,2018,Apr,9175
4421,2018,Apr,5040
4422,2018,Apr,4135
442299,2018,Apr,2219
443,2018,Apr,7343
443141,2018,Apr,1319
443142,2018,Apr,6024
