NAICS_Code,Year,Month,Num_Employees
447,2016,Mar,771.7
447,2017,Mar,776.8
447,2018,Mar,775.7
447,2019,Mar,788.0
448,2009,Mar,1109.8
448,2010,Mar,1101.6
448,2011,Mar,1076.8
448,2012,Mar,1095.9
448,2013,Mar,1101.9
448,2014,Mar,1082.4
448,2015,Mar,1061.0
448,2016,Mar,1065.5
448,2017,Mar,1086.1
448,2018,Mar,1058.2
448,2019,Mar,1037.1
451,2009,Mar,473.1
451,2010,Mar,465.5
451,2011,Mar,470.2
451,2012,Mar,479.7
451,2013,Mar,482.2
451,2014,Mar,494.7
451,2015,Mar,506.9
451,2016,Mar,507.6
451,2017,Mar,487.8
451,2018,Mar,481.0
451,2019,Mar,458.7
452,2009,Mar,2720.8
452,2010,Mar,2733.3
452,2011,Mar,2819.3
452,2012,Mar,2847.4
452,2013,Mar,2753.4
452,2014,Mar,2770.5
452,2015,Mar,2773.5
452,2016,Mar,2813.7
452,2017,Mar,2788.2
452,2018,Mar,2793.8
452,2019,Mar,2770.3
453,2009,Mar,642.7
453,2010,Mar,623.6
453,2011,Mar,617.8
453,2012,Mar,630.8
453,2013,Mar,634.9
453,2014,Mar,646.2
453,2015,Mar,649.9
453,2016,Mar,654.2
453,2017,Mar,651.1
453,2018,Mar,664.4
453,2019,Mar,670.1
454,2009,Mar,337.7
454,2010,Mar,331.4
454,2011,Mar,340.4
454,2012,Mar,355.5
454,2013,Mar,373.2
454,2014,Mar,399.2
454,2015,Mar,412.9
454,2016,Mar,429.6
454,2017,Mar,453.3
454,2018,Mar,462.5
454,2019,Mar,471.6
441,2009,Apr,1355.1
441,2010,Apr,1333.3
441,2011,Apr,1385.6
441,2012,Apr,1421.1
441,2013,Apr,1459.9
441,2014,Apr,1532.5
441,2015,Apr,1593.4
441,2016,Apr,1641.9
441,2017,Apr,1659.9
441,2018,Apr,1670.7
441,2019,Apr,1699.9
442,2009,Apr,370.5
442,2010,Apr,357.4
442,2011,Apr,359.8
442,2012,Apr,363.1
442,2013,Apr,368.7
442,2014,Apr,367.7
442,2015,Apr,379.3
442,2016,Apr,381.5
442,2017,Apr,389.4
442,2018,Apr,397.8
442,2019,Apr,405.5
443,2009,Apr,409.1
443,2010,Apr,410.8
443,2011,Apr,421.1
443,2012,Apr,413.4
443,2013,Apr,389.6
443,2014,Apr,386.0
443,2015,Apr,407.6
443,2016,Apr,418.5
443,2017,Apr,406.0
443,2018,Apr,399.2
443,2019,Apr,378.2
444,2009,Apr,995.7
444,2010,Apr,981.1
444,2011,Apr,992.8
444,2012,Apr,1017.5
444,2013,Apr,1032.2
444,2014,Apr,1064.6
444,2015,Apr,1073.7
444,2016,Apr,1105.3
444,2017,Apr,1100.2
444,2018,Apr,1165.5
444,2019,Apr,1145.1
445,2009,Apr,2483.7
445,2010,Apr,2460.9
445,2011,Apr,2477.7
445,2012,Apr,2495.8
445,2013,Apr,2530.9
445,2014,Apr,2597.1
445,2015,Apr,2656.0
445,2016,Apr,2667.5
445,2017,Apr,2670.0
445,2018,Apr,2663.8
445,2019,Apr,2683.0
446,2009,Apr,785.3
446,2010,Apr,782.1
446,2011,Apr,775.3
446,2012,Apr,805.9
446,2013,Apr,824.2
446,2014,Apr,809.0
446,2015,Apr,806.0
446,2016,Apr,817.5
446,2017,Apr,820.8
446,2018,Apr,829.8
446,2019,Apr,820.7
447,2009,Apr,706.3
447,2010,Apr,698.4
447,2011,Apr,703.9
447,2012,Apr,710.7
447,2013,Apr,721.7
447,2014,Apr,741.4
447,2015,Apr,765.5
447,2016,Apr,777.7
447,2017,Apr,777.5
447,2018,Apr,778.1
447,2019,Apr,787.3
448,2009,Apr,1105.1
448,2010,Apr,1112.7
448,2011,Apr,1086.8
448,2012,Apr,1094.8
448,2013,Apr,1090.3
448,2014,Apr,1088.9
448,2015,Apr,1053.2
448,2016,Apr,1063.5
448,2017,Apr,1084.9
448,2018,Apr,1052.0
448,2019,Apr,1029.1
451,2009,Apr,468.5
451,2010,Apr,463.5
451,2011,Apr,483.4
451,2012,Apr,481.8
451,2013,Apr,481.0
451,2014,Apr,495.2
451,2015,Apr,505.9
451,2016,Apr,500.5
451,2017,Apr,488.8
451,2018,Apr,485.7
451,2019,Apr,455.6
452,2009,Apr,2697.7
452,2010,Apr,2711.8
452,2011,Apr,2835.4
452,2012,Apr,2849.4
452,2013,Apr,2760.4
452,2014,Apr,2770.2
452,2015,Apr,2770.4
452,2016,Apr,2805.3
452,2017,Apr,2799.3
452,2018,Apr,2819.1
452,2019,Apr,2769.4
453,2009,Apr,646.3
453,2010,Apr,628.2
453,2011,Apr,624.4
453,2012,Apr,640.2
453,2013,Apr,645.6
453,2014,Apr,655.2
453,2015,Apr,661.2
453,2016,Apr,665.4
453,2017,Apr,661.3
453,2018,Apr,674.6
453,2019,Apr,675.8
454,2009,Apr,333.2
454,2010,Apr,331.7
454,2011,Apr,339.7
454,2012,Apr,353.4
454,2013,Apr,370.6
454,2014,Apr,400.8
454,2015,Apr,414.2
454,2016,Apr,427.9
454,2017,Apr,451.8
454,2018,Apr,462.1
454,2019,Apr,469.3
441,2009,May,1355.7
441,2010,May,1343.1
441,2011,May,1393.6
441,2012,May,1426.4
441,2013,May,1474.1
441,2014,May,1546.2
441,2015,May,1610.5
441,2016,May,1651.6
441,2017,May,1665.1
441,2018,May,1678.6
441,2019,May,1708.7
442,2009,May,364.8
442,2010,May,356.9
442,2011,May,358.5
442,2012,May,364.7
442,2013,May,369.4
442,2014,May,367.7
442,2015,May,380.3
442,2016,May,385.7
442,2017,May,389.8
442,2018,May,397.7
442,2019,May,404.5
443,2009,May,407.7
443,2010,May,407.8
443,2011,May,418.7
443,2012,May,405.4
443,2013,May,388.9
443,2014,May,384.1
443,2015,May,407.7
443,2016,May,415.4
443,2017,May,401.9
443,2018,May,397.0
443,2019,May,374.9
444,2009,May,1022.5
444,2010,May,1008.4
444,2011,May,1013.2
444,2012,May,1038.2
444,2013,May,1064.7
444,2014,May,1089.8
444,2015,May,1099.7
444,2016,May,1127.1
444,2017,May,1127.2
444,2018,May,1191.9
444,2019,May,1163.9
445,2009,May,2510.1
445,2010,May,2485.5
445,2011,May,2497.0
445,2012,May,2531.6
445,2013,May,2559.4
445,2014,May,2619.0
445,2015,May,2680.4
445,2016,May,2685.3
445,2017,May,2682.7
445,2018,May,2684.1
445,2019,May,2699.1
446,2009,May,790.8
446,2010,May,786.8
446,2011,May,781.0
446,2012,May,806.8
446,2013,May,823.8
446,2014,May,813.9
446,2015,May,809.8
446,2016,May,817.6
446,2017,May,828.5
446,2018,May,831.4
446,2019,May,823.8
447,2009,May,711.4
447,2010,May,704.5
447,2011,May,714.4
447,2012,May,722.3
447,2013,May,731.3
447,2014,May,752.9
447,2015,May,771.1
447,2016,May,787.4
447,2017,May,789.2
447,2018,May,789.6
447,2019,May,797.2
448,2009,May,1108.1
448,2010,May,1105.0
448,2011,May,1088.9
448,2012,May,1103.3
448,2013,May,1096.4
448,2014,May,1085.3
448,2015,May,1066.7
448,2016,May,1072.5
448,2017,May,1085.4
448,2018,May,1069.2
448,2019,May,1027.4
451,2009,May,471.7
451,2010,May,465.1
451,2011,May,485.4
451,2012,May,491.5
451,2013,May,485.8
451,2014,May,499.1
451,2015,May,501.5
451,2016,May,500.7
451,2017,May,489.1
451,2018,May,490.9
451,2019,May,453.2
452,2009,May,2715.8
452,2010,May,2742.8
452,2011,May,2841.0
452,2012,May,2845.3
452,2013,May,2760.9
452,2014,May,2766.5
452,2015,May,2781.5
452,2016,May,2809.7
452,2017,May,2795.1
452,2018,May,2828.8
452,2019,May,2779.7
453,2009,May,660.4
453,2010,May,639.2
453,2011,May,638.0
453,2012,May,662.2
453,2013,May,662.3
453,2014,May,675.6
453,2015,May,676.4
453,2016,May,679.6
453,2017,May,678.4
453,2018,May,690.8
453,2019,May,691.0
454,2009,May,332.1
454,2010,May,331.4
454,2011,May,342.0
454,2012,May,356.8
454,2013,May,372.9
454,2014,May,400.3
454,2015,May,415.8
454,2016,May,427.7
454,2017,May,454.6
454,2018,May,460.2
454,2019,May,469.9
441,2009,Jun,1358.7
441,2010,Jun,1348.0
441,2011,Jun,1404.3
441,2012,Jun,1440.0
441,2013,Jun,1486.5
441,2014,Jun,1565.4
441,2015,Jun,1619.5
441,2016,Jun,1658.8
441,2017,Jun,1674.6
441,2018,Jun,1688.5
441,2019,Jun,
442,2009,Jun,363.2
442,2010,Jun,360.3
442,2011,Jun,358.9
442,2012,Jun,363.8
442,2013,Jun,367.2
442,2014,Jun,368.6
442,2015,Jun,383.3
442,2016,Jun,388.3
442,2017,Jun,388.9
442,2018,Jun,398.3
442,2019,Jun,
443,2009,Jun,406.0
443,2010,Jun,405.2
443,2011,Jun,423.4
443,2012,Jun,405.9
443,2013,Jun,386.6
443,2014,Jun,389.5
443,2015,Jun,410.5
443,2016,Jun,413.8
443,2017,Jun,398.9
443,2018,Jun,395.1
443,2019,Jun,
444,2009,Jun,1014.4
444,2010,Jun,985.2
444,2011,Jun,1002.3
444,2012,Jun,1024.2
444,2013,Jun,1057.8
444,2014,Jun,1086.1
444,2015,Jun,1083.0
444,2016,Jun,1119.6
444,2017,Jun,1125.9
444,2018,Jun,1183.5
444,2019,Jun,
445,2009,Jun,2530.4
445,2010,Jun,2500.6
445,2011,Jun,2524.5
445,2012,Jun,2555.8
445,2013,Jun,2588.8
445,2014,Jun,2654.7
445,2015,Jun,2709.1
445,2016,Jun,2725.9
445,2017,Jun,2717.4
445,2018,Jun,2705.4
445,2019,Jun,
446,2009,Jun,795.0
446,2010,Jun,788.9
446,2011,Jun,783.0
446,2012,Jun,807.8
446,2013,Jun,823.4
446,2014,Jun,817.5
446,2015,Jun,818.3
446,2016,Jun,823.8
446,2017,Jun,824.9
446,2018,Jun,831.9
446,2019,Jun,
447,2009,Jun,717.5
447,2010,Jun,710.4
447,2011,Jun,722.7
447,2012,Jun,729.2
447,2013,Jun,745.1
447,2014,Jun,763.9
447,2015,Jun,783.9
447,2016,Jun,791.5
447,2017,Jun,797.8
447,2018,Jun,799.3
447,2019,Jun,
448,2009,Jun,1117.6
448,2010,Jun,1119.3
448,2011,Jun,1106.8
448,2012,Jun,1119.0
448,2013,Jun,1117.9
448,2014,Jun,1096.1
448,2015,Jun,1084.7
448,2016,Jun,1087.5
448,2017,Jun,1096.1
448,2018,Jun,1086.3
448,2019,Jun,
451,2009,Jun,468.3
451,2010,Jun,464.2
451,2011,Jun,486.5
451,2012,Jun,493.7
451,2013,Jun,491.9
451,2014,Jun,500.9
451,2015,Jun,498.5
451,2016,Jun,497.6
451,2017,Jun,492.6
451,2018,Jun,490.7
451,2019,Jun,
452,2009,Jun,2724.1
452,2010,Jun,2775.3
452,2011,Jun,2866.0
452,2012,Jun,2824.3
452,2013,Jun,2777.3
452,2014,Jun,2787.0
452,2015,Jun,2797.7
452,2016,Jun,2823.1
452,2017,Jun,2823.1
452,2018,Jun,2816.7
452,2019,Jun,
453,2009,Jun,661.3
453,2010,Jun,639.0
453,2011,Jun,643.7
453,2012,Jun,660.7
453,2013,Jun,673.9
453,2014,Jun,681.8
453,2015,Jun,678.2
453,2016,Jun,684.7
453,2017,Jun,684.4
453,2018,Jun,692.4
453,2019,Jun,
454,2009,Jun,330.7
454,2010,Jun,334.8
454,2011,Jun,340.8
454,2012,Jun,361.1
454,2013,Jun,377.8
454,2014,Jun,409.1
454,2015,Jun,420.4
454,2016,Jun,434.6
454,2017,Jun,458.9
454,2018,Jun,464.5
454,2019,Jun,
441,2009,Jul,1357.6
441,2010,Jul,1348.0
441,2011,Jul,1411.7
441,2012,Jul,1436.5
441,2013,Jul,1496.0
441,2014,Jul,1567.3
441,2015,Jul,1629.4
441,2016,Jul,1661.7
441,2017,Jul,1676.9
441,2018,Jul,1695.0
441,2019,Jul,
442,2009,Jul,362.9
442,2010,Jul,359.1
442,2011,Jul,361.4
442,2012,Jul,365.5
442,2013,Jul,367.3
442,2014,Jul,369.8
442,2015,Jul,383.6
442,2016,Jul,390.6
442,2017,Jul,389.8
442,2018,Jul,397.5
442,2019,Jul,
443,2009,Jul,404.9
443,2010,Jul,404.9
443,2011,Jul,422.6
443,2012,Jul,404.9
443,2013,Jul,389.6
443,2014,Jul,393.3
443,2015,Jul,409.7
443,2016,Jul,414.9
443,2017,Jul,395.6
443,2018,Jul,393.9
443,2019,Jul,
444,2009,Jul,983.7
444,2010,Jul,957.9
444,2011,Jul,972.1
444,2012,Jul,1002.7
444,2013,Jul,1038.4
444,2014,Jul,1064.7
444,2015,Jul,1059.1
444,2016,Jul,1092.0
444,2017,Jul,1109.1
444,2018,Jul,1154.2
444,2019,Jul,
445,2009,Jul,2522.2
445,2010,Jul,2500.5
445,2011,Jul,2526.3
445,2012,Jul,2552.2
445,2013,Jul,2601.8
445,2014,Jul,2664.7
445,2015,Jul,2711.0
445,2016,Jul,2725.6
445,2017,Jul,2711.6
445,2018,Jul,2709.3
445,2019,Jul,
446,2009,Jul,791.6
446,2010,Jul,787.2
446,2011,Jul,788.8
446,2012,Jul,812.1
446,2013,Jul,824.7
446,2014,Jul,813.4
446,2015,Jul,817.4
446,2016,Jul,821.0
446,2017,Jul,825.0
446,2018,Jul,822.5
446,2019,Jul,
447,2009,Jul,721.8
447,2010,Jul,717.7
447,2011,Jul,723.7
447,2012,Jul,729.3
447,2013,Jul,751.2
447,2014,Jul,765.0
447,2015,Jul,782.1
447,2016,Jul,795.8
447,2017,Jul,795.5
447,2018,Jul,799.7
447,2019,Jul,
448,2009,Jul,1136.9
448,2010,Jul,1135.2
448,2011,Jul,1120.5
448,2012,Jul,1124.1
448,2013,Jul,1142.5
448,2014,Jul,1116.1
448,2015,Jul,1100.6
448,2016,Jul,1108.7
448,2017,Jul,1105.8
448,2018,Jul,1104.2
448,2019,Jul,
451,2009,Jul,463.7
451,2010,Jul,461.2
451,2011,Jul,489.0
451,2012,Jul,491.7
451,2013,Jul,494.0
451,2014,Jul,499.2
451,2015,Jul,505.3
451,2016,Jul,501.6
451,2017,Jul,496.4
451,2018,Jul,464.5
451,2019,Jul,
452,2009,Jul,2712.3
452,2010,Jul,2796.9
452,2011,Jul,2878.5
452,2012,Jul,2817.0
452,2013,Jul,2791.8
452,2014,Jul,2803.4
452,2015,Jul,2798.4
452,2016,Jul,2835.4
452,2017,Jul,2847.4
452,2018,Jul,2848.9
452,2019,Jul,
453,2009,Jul,657.4
453,2010,Jul,640.7
453,2011,Jul,654.8
453,2012,Jul,658.5
453,2013,Jul,674.5
453,2014,Jul,687.1
453,2015,Jul,682.0
453,2016,Jul,689.3
453,2017,Jul,686.8
453,2018,Jul,699.5
453,2019,Jul,
454,2009,Jul,330.4
454,2010,Jul,334.7
454,2011,Jul,343.3
454,2012,Jul,363.9
454,2013,Jul,380.3
454,2014,Jul,408.0
454,2015,Jul,421.0
454,2016,Jul,437.6
454,2017,Jul,457.9
454,2018,Jul,466.7
454,2019,Jul,
441,2009,Aug,1357.8
441,2010,Aug,1356.6
441,2011,Aug,1412.9
441,2012,Aug,1441.7
441,2013,Aug,1498.9
441,2014,Aug,1571.4
441,2015,Aug,1629.2
441,2016,Aug,1659.5
441,2017,Aug,1672.1
441,2018,Aug,1690.6
441,2019,Aug,
442,2009,Aug,360.4
442,2010,Aug,356.7
442,2011,Aug,359.0
442,2012,Aug,367.8
442,2013,Aug,363.9
442,2014,Aug,375.0
442,2015,Aug,383.3
442,2016,Aug,389.7
442,2017,Aug,390.5
442,2018,Aug,398.7
442,2019,Aug,
443,2009,Aug,407.5
443,2010,Aug,408.7
443,2011,Aug,418.3
443,2012,Aug,400.6
443,2013,Aug,391.9
443,2014,Aug,399.4
443,2015,Aug,413.6
443,2016,Aug,413.2
443,2017,Aug,397.3
443,2018,Aug,392.0
443,2019,Aug,
444,2009,Aug,958.0
444,2010,Aug,938.6
444,2011,Aug,954.0
444,2012,Aug,975.1
444,2013,Aug,1018.6
444,2014,Aug,1030.7
444,2015,Aug,1029.0
444,2016,Aug,1065.5
444,2017,Aug,1077.4
444,2018,Aug,1111.6
444,2019,Aug,
445,2009,Aug,2516.7
445,2010,Aug,2498.6
445,2011,Aug,2521.6
445,2012,Aug,2553.4
445,2013,Aug,2603.7
445,2014,Aug,2644.6
445,2015,Aug,2700.6
445,2016,Aug,2718.0
445,2017,Aug,2703.5
445,2018,Aug,2704.7
445,2019,Aug,
446,2009,Aug,788.5
446,2010,Aug,782.8
446,2011,Aug,790.4
446,2012,Aug,813.6
446,2013,Aug,826.7
446,2014,Aug,811.3
446,2015,Aug,812.2
446,2016,Aug,821.1
446,2017,Aug,821.5
446,2018,Aug,823.2
446,2019,Aug,
447,2009,Aug,725.7
447,2010,Aug,715.8
447,2011,Aug,727.8
447,2012,Aug,729.9
447,2013,Aug,748.4
447,2014,Aug,767.9
447,2015,Aug,788.3
447,2016,Aug,797.7
447,2017,Aug,798.7
447,2018,Aug,799.7
447,2019,Aug,
448,2009,Aug,1144.1
448,2010,Aug,1136.8
448,2011,Aug,1134.3
448,2012,Aug,1143.0
448,2013,Aug,1160.9
448,2014,Aug,1127.7
448,2015,Aug,1112.8
448,2016,Aug,1115.4
448,2017,Aug,1106.8
448,2018,Aug,1095.7
448,2019,Aug,
451,2009,Aug,481.3
451,2010,Aug,479.3
451,2011,Aug,505.3
451,2012,Aug,502.8
451,2013,Aug,507.1
451,2014,Aug,509.8
451,2015,Aug,505.3
451,2016,Aug,507.6
451,2017,Aug,497.3
451,2018,Aug,468.7
451,2019,Aug,
452,2009,Aug,2716.9
452,2010,Aug,2805.8
452,2011,Aug,2874.7
452,2012,Aug,2805.5
452,2013,Aug,2784.4
452,2014,Aug,2798.3
452,2015,Aug,2800.6
452,2016,Aug,2839.2
452,2017,Aug,2858.0
452,2018,Aug,2881.8
452,2019,Aug,
453,2009,Aug,657.9
453,2010,Aug,635.7
453,2011,Aug,644.4
453,2012,Aug,662.1
453,2013,Aug,668.6
453,2014,Aug,686.3
453,2015,Aug,681.9
453,2016,Aug,688.0
453,2017,Aug,685.2
453,2018,Aug,697.9
453,2019,Aug,
454,2009,Aug,332.8
454,2010,Aug,336.6
454,2011,Aug,346.9
